Name,Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
Lauri Markkanen,2019-20,22,CHI,NBA,PF,50,1492,.425,15.5,,.464,.274,.149,.027,.014,.536,,.518,.648,.341,.313,.250,.344,,.535,.991,,.096,47,,.142,.422,,2,0
Lauri Markkanen,2020-21,23,CHI,NBA,PF,51,1317,.480,16.2,,.432,.240,.146,.033,.013,.568,,.582,.672,.553,.235,.143,.402,,.725,.992,,.071,33,,.213,.540,,1,0
Lauri Markkanen,2021-22,24,CLE,NBA,SF,61,1878,.445,16.5,,.459,.226,.144,.061,.028,.541,,.548,.679,.446,.326,.500,.358,,.684,.993,,.081,52,,.200,.342,,0,0
Kelly Olynyk,2019-20,28,MIA,NBA,C,67,1300,.462,17.6,,.412,.221,.098,.055,.038,.588,,.543,.693,.359,.455,.267,.406,,.697,.947,,.023,9,,.197,.391,,1,0
Kelly Olynyk,2020-21,29,TOT,NBA,CPF,70,1997,.484,15.6,,.472,.286,.135,.030,.022,.528,,.641,.769,.479,.286,.467,.342,,.739,.937,,.032,20,,.158,.276,,0,0
Kelly Olynyk,2020-21,29,MIA,NBA,C,43,1157,.431,18.1,,.354,.226,.082,.024,.021,.646,,.639,.729,.548,.222,.500,.317,,.871,.974,,.027,10,,.185,.200,,0,0
Kelly Olynyk,2020-21,29,HOU,NBA,PF,27,840,.545,12.6,,.611,.355,.196,.037,.022,.389,,.643,.798,.444,.333,.429,.392,,.651,.878,,.037,10,,.104,.538,,0,0
Kelly Olynyk,2021-22,30,DET,NBA,C,40,764,.448,14.2,,.584,.301,.175,.045,.063,.416,,.527,.640,.380,.385,.500,.336,,.625,.875,,.052,11,,.017,.500,,1,0
Jarred Vanderbilt,2019-20,20,TOT,NBA,PF,11,46,.625,4.0,,.875,.875,.000,.000,.000,.125,,.714,.714,,,,.000,,.600,,,.250,2,,1.000,.000,,0,0
Jarred Vanderbilt,2019-20,20,DEN,NBA,PF,9,41,.714,1.3,,1.000,1.000,.000,.000,.000,.000,,.714,.714,,,,,,.600,,,.286,2,,,,,0,0
Jarred Vanderbilt,2019-20,20,MIN,NBA,PF,2,5,.000,23.5,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,1.000,.000,,0,0
Jarred Vanderbilt,2020-21,21,MIN,NBA,PF,64,1139,.606,2.6,,.979,.780,.182,.017,.000,.021,,.615,.717,.233,.000,,.200,,.711,1.000,,.195,40,,.600,.333,,0,0
Jarred Vanderbilt,2021-22,22,MIN,NBA,PF,74,1880,.587,3.1,,.961,.726,.211,.022,.003,.039,,.605,.710,.289,.250,.000,.143,,.690,1.000,,.343,117,,.643,.222,,0,0
Collin Sexton,2019-20,21,CLE,NBA,PG,65,2143,.472,11.1,,.765,.330,.215,.153,.068,.235,,.501,.615,.391,.446,.419,.380,,.293,.742,,.024,23,,.110,.536,,0,0
Collin Sexton,2020-21,22,CLE,NBA,SG,60,2115,.475,11.7,,.761,.273,.251,.163,.074,.239,,.508,.619,.455,.483,.329,.371,,.422,.684,,.010,9,,.102,.407,,0,0
Collin Sexton,2021-22,23,CLE,NBA,SG,11,316,.450,11.8,,.702,.305,.258,.066,.073,.298,,.538,.739,.385,.400,.364,.244,,.421,.818,,.026,4,,.156,.286,,0,0
Talen Horton-Tucker,2019-20,19,LAL,NBA,SG,6,81,.467,13.1,,.567,.300,.233,.033,.000,.433,,.588,.778,.429,.000,,.308,,.600,1.000,,.067,1,,.308,.250,,0,0
Talen Horton-Tucker,2020-21,20,LAL,NBA,SG,65,1304,.458,10.3,,.732,.413,.211,.072,.037,.268,,.522,.639,.359,.486,.222,.282,,.348,.730,,.049,15,,.214,.179,,1,0
Talen Horton-Tucker,2021-22,21,LAL,NBA,SG,60,1511,.416,12.8,,.662,.297,.204,.100,.059,.338,,.492,.613,.409,.389,.344,.269,,.406,.796,,.035,16,,.187,.324,,0,0
Malik Beasley,2019-20,23,TOT,NBA,SG,55,1209,.425,16.7,,.483,.189,.129,.096,.069,.517,,.465,.634,.261,.471,.378,.388,,.667,.888,,.030,13,,.185,.451,,1,0
Malik Beasley,2019-20,23,DEN,NBA,SG,41,746,.389,17.7,,.465,.143,.130,.103,.090,.535,,.421,.581,.231,.452,.407,.360,,.644,.966,,.023,5,,.193,.419,,1,0
Malik Beasley,2019-20,23,MIN,NBA,SG,14,463,.472,15.5,,.506,.249,.129,.086,.043,.494,,.517,.672,.300,.500,.300,.426,,.689,.796,,.039,8,,.174,.500,,0,0
Malik Beasley,2020-21,24,MIN,NBA,SG,37,1214,.440,16.4,,.465,.192,.148,.075,.050,.535,,.487,.600,.449,.267,.500,.399,,.632,.875,,.027,13,,.268,.453,,0,0
Malik Beasley,2021-22,25,MIN,NBA,SG,79,1976,.391,20.8,,.251,.088,.066,.052,.045,.749,,.432,.587,.357,.341,.342,.377,,.652,.904,,.020,16,,.317,.406,,4,0
